android-beacon-library,git://github.com/AltBeacon/android-beacon-library.git
eucalyptus,git://github.com/eucalyptus/eucalyptus.git
lwjgl,git://github.com/LWJGL/lwjgl.git
jackson-annotations,git://github.com/FasterXML/jackson-annotations.git
androidclient,git://github.com/kontalk/androidclient.git
less4j,git://github.com/SomMeri/less4j.git
HikariCP,git://github.com/brettwooldridge/HikariCP.git
gerrit-trigger-plugin,git://github.com/jenkinsci/gerrit-trigger-plugin.git
jogl,git://github.com/sgothel/jogl.git
AxonFramework,git://github.com/AxonFramework/AxonFramework.git
sql2o,git://github.com/aaberg/sql2o.git
orientdb,git://github.com/orientechnologies/orientdb.git
closure-compiler,git://github.com/google/closure-compiler.git
ambari,git://github.com/apache/ambari.git
spring-amqp,git://github.com/spring-projects/spring-amqp.git
Applied-Energistics-2,git://github.com/AppliedEnergistics/Applied-Energistics-2.git
checkstyle,git://github.com/checkstyle/checkstyle.git
wro4j,git://github.com/alexo/wro4j.git
google-api-java-client,git://github.com/google/google-api-java-client.git
mixpanel-android,git://github.com/mixpanel/mixpanel-android.git
denominator,git://github.com/Netflix/denominator.git
jnr-ffi,git://github.com/jnr/jnr-ffi.git
spring-boot,git://github.com/spring-projects/spring-boot.git
joda-time,git://github.com/JodaOrg/joda-time.git
maven,git://github.com/apache/maven.git
lenskit,git://github.com/lenskit/lenskit.git
snappy-java,git://github.com/xerial/snappy-java.git
MinecraftForge,git://github.com/MinecraftForge/MinecraftForge.git
commons-io,git://github.com/apache/commons-io.git
dubbo,git://github.com/alibaba/dubbo.git
facebook-android-sdk,git://github.com/facebook/facebook-android-sdk.git
mcMMO,git://github.com/mcMMO-Dev/mcMMO.git
slf4j,git://github.com/qos-ch/slf4j.git
mapdb,git://github.com/jankotek/mapdb.git
nutch,git://github.com/apache/nutch.git
android-bankdroid,git://github.com/liato/android-bankdroid.git
jPOS,git://github.com/jpos/jPOS.git
carrot2,git://github.com/carrot2/carrot2.git
lucene-solr,git://github.com/apache/lucene-solr.git
twitter4j,git://github.com/yusuke/twitter4j.git
Essentials,git://github.com/essentials/Essentials.git
egit-github,git://github.com/eclipse/egit-github.git
spring-data-redis,git://github.com/spring-projects/spring-data-redis.git
rest-assured,git://github.com/jayway/rest-assured.git
mage,git://github.com/magefree/mage.git
hibernate-validator,git://github.com/hibernate/hibernate-validator.git
elasticsearch-knapsack,git://github.com/jprante/elasticsearch-knapsack.git
mopub-android-sdk,git://github.com/mopub/mopub-android-sdk.git
parquet-mr,git://github.com/apache/parquet-mr.git
parboiled,git://github.com/sirthias/parboiled.git
EhViewer,git://github.com/seven332/EhViewer.git
immutables,git://github.com/immutables/immutables.git
hector,git://github.com/hector-client/hector.git
swift,git://github.com/facebook/swift.git
spring-webflow,git://github.com/spring-projects/spring-webflow.git
osmosis,git://github.com/openstreetmap/osmosis.git
floobits-intellij,git://github.com/Floobits/floobits-intellij.git
jena,git://github.com/apache/jena.git
mcpatcher,git://github.com/pclewis/mcpatcher.git
jna,git://github.com/java-native-access/jna.git
pentaho-platform,git://github.com/pentaho/pentaho-platform.git
activemq,git://github.com/apache/activemq.git
PassAndroid,git://github.com/ligi/PassAndroid.git
actor-platform,git://github.com/actorapp/actor-platform.git
appfuse,git://github.com/appfuse/appfuse.git
bytecode-viewer,git://github.com/Konloch/bytecode-viewer.git
suro,git://github.com/Netflix/suro.git
thymeleaf,git://github.com/thymeleaf/thymeleaf.git
druid,git://github.com/alibaba/druid.git
spring-data-rest,git://github.com/spring-projects/spring-data-rest.git
tika,git://github.com/apache/tika.git
vlcj,git://github.com/caprica/vlcj.git
Activiti,git://github.com/Activiti/Activiti.git
photup,git://github.com/chrisbanes/photup.git
ngrinder,git://github.com/naver/ngrinder.git
eclipsefp,git://github.com/JPMoresmau/eclipsefp.git
spring-roo,git://github.com/spring-projects/spring-roo.git
Twidere-Android,git://github.com/TwidereProject/Twidere-Android.git
bnd,git://github.com/bndtools/bnd.git
ccnx,git://github.com/ProjectCCNx/ccnx.git
griffon,git://github.com/griffon/griffon.git
semantic-versioning,git://github.com/jeluard/semantic-versioning.git
android_frameworks_base,git://github.com/CyanogenMod/android_frameworks_base.git
elephant-bird,git://github.com/twitter/elephant-bird.git
ps3mediaserver,git://github.com/ps3mediaserver/ps3mediaserver.git
jacoco,git://github.com/jacoco/jacoco.git
java-cas-client,git://github.com/Jasig/java-cas-client.git
javassist,git://github.com/jboss-javassist/javassist.git
bndtools,git://github.com/bndtools/bndtools.git
spring-security-oauth,git://github.com/spring-projects/spring-security-oauth.git
github-plugin,git://github.com/jenkinsci/github-plugin.git
docker-plugin,git://github.com/jenkinsci/docker-plugin.git
spring-data-solr,git://github.com/spring-projects/spring-data-solr.git
args4j,git://github.com/kohsuke/args4j.git
logstash-logback-encoder,git://github.com/logstash/logstash-logback-encoder.git
zeno,git://github.com/Netflix/zeno.git
artemis-odb,git://github.com/junkdog/artemis-odb.git
libgdx,git://github.com/libgdx/libgdx.git
tomcat,git://github.com/apache/tomcat.git
robovm,git://github.com/robovm/robovm.git
keycloak,git://github.com/keycloak/keycloak.git
arquillian-core,git://github.com/arquillian/arquillian-core.git
incubator-calcite,git://github.com/apache/incubator-calcite.git
quickfixj,git://github.com/quickfix-j/quickfixj.git
Android-Universal-Image-Loader,git://github.com/nostra13/Android-Universal-Image-Loader.git
BarcodeScanner,git://github.com/wildabeast/BarcodeScanner.git
jsoup,git://github.com/jhy/jsoup.git
FML,git://github.com/MinecraftForge/FML.git
camunda-bpm-platform,git://github.com/camunda/camunda-bpm-platform.git
mycollab,git://github.com/MyCollab/mycollab.git
GWTP,git://github.com/ArcBees/GWTP.git
boon,git://github.com/boonproject/boon.git
